rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
100.3,0.19616356000000013,7.04,3638,55,2580,202989,0.0001,0.042207639664411545,50497,,
102.1,0.1910036799999999,7.21,3665,55,2590,204292,0.0001,0.036123126745224,50822,,
104.76,0.18700408000000002,7.31,3686,55,2600,205302,0.0001,0.4566659927368164,51075,,
110.85,0.18148384000000006,7.66,3715,55,2610,206696,0.0001,0.026736149564385414,51423,,
104.5,0.17890587999999996,7.43,3729,55,2620,207347,0.0001,0.04712088406085968,51586,,
105.34,0.17451819999999996,7.53,3752,55,2630,208455,0.0001,0.046600598841905594,51863,,
103.58,0.17123535999999995,7.43,3769,55,2640,209284,0.0001,0.33121299743652344,52070,,
103.9,0.16744167999999982,7.52,3790,55,2650,210242,0.0001,0.19376973807811737,52310,,
102.06,0.1638737200000001,7.27,3808,55,2660,211143,0.0001,0.03055739216506481,52535,,
100.39,0.16098292000000014,7.2,3823,55,2670,211873,0.0001,0.014343674294650555,52718,,
97.55,0.15753376000000008,7.21,3841,55,2680,212744,0.0001,0.02188744582235813,52935,,
90.5,0.15516567999999986,6.77,3853,55,2690,213342,0.0001,0.03726967051625252,53085,,
87.79,0.1522392400000001,6.61,3868,55,2700,214081,0.0001,0.06556107848882675,53270,,
80.7,0.14952663999999993,6.22,3883,55,2710,214766,0.0001,0.04270603880286217,53441,,
85.75,0.14494887999999995,6.46,3907,55,2720,215922,0.0001,0.12366435676813126,53730,,
83.53,0.14144031999999995,6.15,3926,55,2730,216808,0.0001,0.06850177049636841,53951,,
83.72,0.13808224000000013,6.19,3944,55,2740,217656,0.0001,0.06785809248685837,54163,,
85.46,0.13359952000000008,6.23,3968,55,2750,218788,0.0001,0.06073656305670738,54446,,
84.12,0.13056219999999996,6.17,3984,55,2760,219555,0.0001,0.7568169832229614,54638,,
87.34,0.12639628000000003,6.52,4006,55,2770,220607,0.0001,0.03460875153541565,54901,,
86.06,0.12345400000000006,6.38,4021,55,2780,221350,0.0001,0.07814822345972061,55087,,
85.97,0.12112156000000007,6.3,4033,55,2790,221939,0.0001,0.03294098377227783,55234,,
87.49,0.11759320000000006,6.47,4051,54,2800,222830,0.0001,0.046311620622873306,55457,,
88.68,0.11440936000000002,6.66,4068,54,2810,223634,0.0001,0.4691595435142517,55658,,
84.87,0.11134036000000014,6.61,4085,54,2820,224409,0.0001,0.03733052313327789,55852,,
83.54,0.10835848000000015,6.66,4100,54,2830,225162,0.0001,0.3532751500606537,56040,,
80.66,0.1061408800000001,6.53,4111,54,2840,225722,0.0001,0.5197778940200806,56180,,
75.87,0.10355500000000006,6.22,4124,54,2850,226375,0.0001,0.048492711037397385,56343,,
